curve_const,curve_wind,timestamp,oilgas,waterinj
1,0.330962784,01.04.2020 00:00,0.985021175,0.8
1,0.318066049,01.04.2020 00:05,1.004441185,0.8
1,0.305169314,01.04.2020 00:10,0.961458567,0.8
1,0.292272579,01.04.2020 00:15,0.978231012,0.8
1,0.279375844,01.04.2020 00:20,0.985564265,0.8
1,0.266479109,01.04.2020 00:25,0.996892357,0.8
1,0.244140154,01.04.2020 00:30,0.992542713,0.8
1,0.21520152,01.04.2020 00:35,0.961097758,0.8
1,0.190647336,01.04.2020 00:40,0.970295772,0.8
1,0.166093151,01.04.2020 00:45,0.994075603,0.8
1,0.142759859,01.04.2020 00:50,0.998792664,0.8
1,0.124631987,01.04.2020 00:55,0.990624992,0.8
1,0.115996227,01.04.2020 01:00,0.957194805,0.8
1,0.120714883,01.04.2020 01:05,0.954985658,0.8
1,0.125433539,01.04.2020 01:10,0.993892016,0.8
1,0.130152195,01.04.2020 01:15,0.992215615,0.8
1,0.13487085,01.04.2020 01:20,0.989554514,0.8
1,0.139589506,01.04.2020 01:25,0.992507178,0.8
1,0.136786787,01.04.2020 01:30,0.971616677,0.8
1,0.122702005,01.04.2020 01:35,0.972634105,0.8
1,0.108617224,01.04.2020 01:40,0.999239686,0.8
1,0.094532442,01.04.2020 01:45,1.000058868,0.8
1,0.080230503,01.04.2020 01:50,0.992754026,0.8
1,0.064874167,01.04.2020 01:55,0.96305097,0.8
1,0.06315196,01.04.2020 02:00,0.973379281,0.8
1,0.081834159,01.04.2020 02:05,0.98777865,0.8
1,0.09922337,01.04.2020 02:10,0.999293475,0.8
1,0.116436437,01.04.2020 02:15,0.989976046,0.8
1,0.133649504,01.04.2020 02:20,0.970482164,0.8
1,0.153707599,01.04.2020 02:25,0.968028117,0.8
1,0.155386395,01.04.2020 02:30,0.985254037,0.8
1,0.12905548,01.04.2020 02:35,0.995582184,0.8
1,0.106101958,01.04.2020 02:40,0.990490628,0.8
1,0.082948932,01.04.2020 02:45,0.96115992,0.8
1,0.058089406,01.04.2020 02:50,0.981127676,0.8
1,0.032840532,01.04.2020 02:55,0.976759661,0.8
1,0.031912689,01.04.2020 03:00,0.987061362,0.8
1,0.067458429,01.04.2020 03:05,1.01042743,0.8
1,0.101040992,01.04.2020 03:10,0.984550555,0.8
1,0.133565831,01.04.2020 03:15,0.968416339,0.8
1,0.17445772,01.04.2020 03:20,0.972614514,0.8
1,0.22036368,01.04.2020 03:25,0.982712531,0.8
1,0.24719383,01.04.2020 03:30,0.997256108,0.8
